,match_name,selection,market_type,handicap,commence_time,status,result_score
2,Sacramento Kings vs Portland Trail Blazers,Sacramento Kings,Spread,-4.5,2026-01-19 02:00:00+00:00,Lost,Sacramento Kings 110 - 117 Portland Trail Blazers
25,Philadelphia 76ers vs Indiana Pacers,Philadelphia 76ers,Spread,-9.5,2026-01-20 00:00:00+00:00,Lost,Philadelphia 76ers 113 - 104 Indiana Pacers
76,Chicago Bulls vs Los Angeles Clippers,Los Angeles Clippers,Spread,2.5,2026-01-21 01:00:00+00:00,Lost,Chicago Bulls 138 - 110 Los Angeles Clippers
77,Utah Jazz vs Minnesota Timberwolves,Minnesota Timberwolves,Spread,-12.5,2026-01-21 02:00:00+00:00,Lost,Utah Jazz 127 - 122 Minnesota Timberwolves
78,Houston Rockets vs San Antonio Spurs,Houston Rockets,Spread,-5.5,2026-01-21 01:00:00+00:00,Lost,Houston Rockets 111 - 106 San Antonio Spurs
85,Denver Nuggets vs Los Angeles Lakers,Los Angeles Lakers,Spread,-4.5,2026-01-21 03:00:00+00:00,Won,Denver Nuggets 107 - 115 Los Angeles Lakers
111,New York Knicks vs Brooklyn Nets,Brooklyn Nets,Spread,9.5,2026-01-22 00:30:00+00:00,Lost,New York Knicks 120 - 66 Brooklyn Nets
139,Philadelphia 76ers vs Houston Rockets,Houston Rockets,Spread,-3.5,2026-01-23 00:00:00+00:00,Lost,Philadelphia 76ers 128 - 122 Houston Rockets
164,Brooklyn Nets vs Boston Celtics,Brooklyn Nets,Spread,6.5,2026-01-24 00:30:00+00:00,Won,Brooklyn Nets 126 - 130 Boston Celtics
165,Portland Trail Blazers vs Toronto Raptors,Toronto Raptors,Spread,-5.5,2026-01-24 03:00:00+00:00,Won,Portland Trail Blazers 98 - 110 Toronto Raptors
166,Atlanta Hawks vs Phoenix Suns,Phoenix Suns,Spread,-4.5,2026-01-24 00:30:00+00:00,Lost,Atlanta Hawks 110 - 103 Phoenix Suns
209,Chicago Bulls vs Boston Celtics,Chicago Bulls,Spread,-2.5,2026-01-25 01:00:00+00:00,Won,Chicago Bulls 114 - 111 Boston Celtics
215,Utah Jazz vs Miami Heat,Miami Heat,Spread,-7.5,2026-01-25 02:30:00+00:00,Won,Utah Jazz 116 - 147 Miami Heat
244,Minnesota Timberwolves vs Golden State Warriors,Minnesota Timberwolves,Spread,-8.5,2026-01-25 22:30:00+00:00,Won,Minnesota Timberwolves 108 - 83 Golden State Warriors
246,San Antonio Spurs vs New Orleans Pelicans,New Orleans Pelicans,Spread,10.5,2026-01-26 00:00:00+00:00,Won,San Antonio Spurs 95 - 104 New Orleans Pelicans
317,Washington Wizards vs Portland Trail Blazers,Washington Wizards,Spread,6.5,2026-01-28 00:00:00+00:00,Won,Washington Wizards 115 - 111 Portland Trail Blazers
324,Philadelphia 76ers vs Milwaukee Bucks,Philadelphia 76ers,Spread,-11.5,2026-01-28 01:00:00+00:00,Won,Philadelphia 76ers 139 - 122 Milwaukee Bucks
326,Denver Nuggets vs Detroit Pistons,Denver Nuggets,Spread,5.5,2026-01-28 02:00:00+00:00,Won,Denver Nuggets 107 - 109 Detroit Pistons
356,Memphis Grizzlies vs Charlotte Hornets,Charlotte Hornets,Spread,-3.5,2026-01-29 01:00:00+00:00,Won,Memphis Grizzlies 97 - 112 Charlotte Hornets
357,Indiana Pacers vs Chicago Bulls,Chicago Bulls,Spread,-3.5,2026-01-29 00:00:00+00:00,Lost,Indiana Pacers 113 - 110 Chicago Bulls
367,Dallas Mavericks vs Minnesota Timberwolves,Dallas Mavericks,Spread,5.5,2026-01-29 01:30:00+00:00,Lost,Dallas Mavericks 105 - 118 Minnesota Timberwolves
401,Philadelphia 76ers vs Sacramento Kings,Philadelphia 76ers,Spread,-13.5,2026-01-30 00:00:00+00:00,Lost,Philadelphia 76ers 113 - 111 Sacramento Kings
403,Washington Wizards vs Milwaukee Bucks,Milwaukee Bucks,Spread,-3.5,2026-01-30 00:00:00+00:00,Lost,Washington Wizards 109 - 99 Milwaukee Bucks
404,Minnesota Timberwolves vs Oklahoma City Thunder,Oklahoma City Thunder,Spread,-7.5,2026-01-30 02:30:00+00:00,Lost,Minnesota Timberwolves 123 - 111 Oklahoma City Thunder
412,Dallas Mavericks vs Charlotte Hornets,Charlotte Hornets,Spread,-6.5,2026-01-30 01:30:00+00:00,Lost,Dallas Mavericks 121 - 123 Charlotte Hornets
444,Washington Wizards vs Los Angeles Lakers,Los Angeles Lakers,Spread,-10.5,2026-01-31 00:00:00+00:00,Won,Washington Wizards 111 - 142 Los Angeles Lakers
445,Denver Nuggets vs Los Angeles Clippers,Los Angeles Clippers,Spread,-6.5,2026-01-31 02:00:00+00:00,Lost,Denver Nuggets 122 - 109 Los Angeles Clippers
456,Phoenix Suns vs Cleveland Cavaliers,Phoenix Suns,Spread,3.5,2026-01-31 02:00:00+00:00,Won,Phoenix Suns 126 - 113 Cleveland Cavaliers
493,Memphis Grizzlies vs Minnesota Timberwolves,Minnesota Timberwolves,Spread,-9.5,2026-02-01 01:00:00+00:00,Won,Memphis Grizzlies 114 - 131 Minnesota Timberwolves
502,Philadelphia 76ers vs New Orleans Pelicans,Philadelphia 76ers,Spread,-11.5,2026-02-01 00:30:00+00:00,Lost,Philadelphia 76ers 124 - 114 New Orleans Pelicans
524,Denver Nuggets vs Oklahoma City Thunder,Oklahoma City Thunder,Spread,-5.5,2026-02-02 02:30:00+00:00,Won,Denver Nuggets 111 - 121 Oklahoma City Thunder
525,Miami Heat vs Chicago Bulls,Miami Heat,Spread,-5.5,2026-02-01 23:10:00+00:00,Won,Miami Heat 134 - 91 Chicago Bulls
526,San Antonio Spurs vs Orlando Magic,Orlando Magic,Spread,4.5,2026-02-02 00:00:00+00:00,Lost,San Antonio Spurs 112 - 103 Orlando Magic
527,New York Knicks vs Los Angeles Lakers,New York Knicks,Spread,-6.5,2026-02-02 00:00:00+00:00,Won,New York Knicks 112 - 100 Los Angeles Lakers
584,Charlotte Hornets vs New Orleans Pelicans,Charlotte Hornets,Spread,-8.5,2026-02-02 20:00:00+00:00,Lost,Charlotte Hornets 102 - 95 New Orleans Pelicans
586,Memphis Grizzlies vs Minnesota Timberwolves,Minnesota Timberwolves,Spread,-9.5,2026-02-03 00:30:00+00:00,Lost,Memphis Grizzlies 137 - 128 Minnesota Timberwolves
606,Oklahoma City Thunder vs Orlando Magic,Oklahoma City Thunder,Spread,-8.5,2026-02-04 01:00:00+00:00,Won,Oklahoma City Thunder 128 - 92 Orlando Magic
607,Milwaukee Bucks vs Chicago Bulls,Chicago Bulls,Spread,-4.5,2026-02-04 01:00:00+00:00,Lost,Milwaukee Bucks 131 - 115 Chicago Bulls
613,Dallas Mavericks vs Boston Celtics,Boston Celtics,Spread,-9.5,2026-02-04 01:00:00+00:00,Won,Dallas Mavericks 100 - 110 Boston Celtics
